	robot_id	robot_name
81	d206bf8408a6d3a3a2b524008055dbf6f79ffc44	runner.RobotOptimus
82	6db496fef77ddc1f8b887e5b62ad87e527fc020b	runner.RobotOptimus
83	8e19cbcd9d2749b18dfb6cc09fbb1124070ee258	runner.RobotOptimus
84	8765c91502a8f54f862c8c629a0f4232d6e831ff	runner.RobotOptimus
85	9a59b180007cf2ae49a8c5f9db5e12bb0ee0726a	runner.RobotOptimus
86	11b392a5219318bc64cbc8b5a5ba6c72cc4ed3ae	runner.RobotOptimus
87	feda7c5fa79addb5b986e519981f46f3cedc049f	runner.RobotOptimus
88	a889782d417c2a280a2b2a60171680f3af1b81a4	runner.RobotOptimus
89	d8234b5378098d80159ff9490c7015da916cc911	runner.RobotOptimus
90	4dff9ac7979619bcee8280661f7f5cf15c9bb10f	runner.RobotOptimus
91	1eca9cb4221cf54781aab363818efae157f8ae3b	runner.RobotOptimus
92	6afb1b4a0637897693c43ae20826061f2046ac1f	runner.RobotOptimus
93	d1c37012e8e20bcc7e9b10b9b8789a9ccb3347ae	runner.RobotOptimus
94	4170248aae07a72e367b47daa15f2dfb09727a50	runner.RobotOptimus
95	2fc79e52cf9ba740b34f7834350702db018f46cb	runner.RobotOptimus
96	7a3638099e5a69efd9aaa08e4d0fc9596f3e0ba7	runner.RobotOptimus
97	38927cfa8fa4d35817083993a8e6c11db21e455e	runner.RobotOptimus
98	9dbdfbf0272c208d498f4e13634b8c497c096641	runner.RobotOptimus
99	2a613c28f98678c66086d27b00338135876c2618	runner.RobotOptimus
100	48f20068d2fc88284aeadb91eb5d213939442c47	runner.CopyDroid
101	66087778e2da5470c15256a2ea3f8e46281bce59	runner.XMLinator
102	401bb73d0b2ce3f46b642afd486126bde17d3ba6	runner.XMLinator
103	6677da497d6d22a2a6e812c46669ea9a127d8130	runner.Artifactor
104	d3704614762cd90f62a56401288d5e5fc13bcd8c	runner.Artifactor
105	c5edbc31f54a415f666bfe0eccca8f7819301e5e	runner.Artifactor
106	6748f3ea65874d3837c0cbccdf37693d33d02a9b	runner.ImporterX
107	b305fe1e69723699c0d6cbae6180bc5f2f83d4ff	runner.CopyDroid
108	caa2781dcb63efb7fe5020810fc010ce6edbce01	runner.Artifactor
109	74d790bcdeff9cf56e093a4d581a75f75b245d03	runner.TestoTron
110	c9f051bd3203b7931f19fec1351710c1fba65e6a	runner.Artifactor
111	2e7771ebf13a16ebcf3044f76c5198c043a31b5b	runner.Artifactor
112	32e6148ece6487d6a787d0eb1d95c88a3043e1b5	runner.XMLinator
113	556a28b22123242260006301d7e57ebcfac55d76	runner.Artifactor
114	fed07ced8f198f7f22e7199e94e43d6c3be06839	runner.TestoTron
115	42914d1d28fca65adef66e2814a20069e0a3f024	runner.CopyDroid
116	09d5dfb1b8e5604d94bd7e6ef1a959f2764aa649	runner.ImporterX
117	5fe237bce9b5baedd89c8b57db21a80ce0348dcb	runner.ImporterX
118	8157c9ba7acc97ad8853343f8bdf95ed1a1ac529	runner.ImporterX
119	6760a10e54d29b4660dd6a0e86e7a4e0e8836279	runner.Artifactor
120	5f27404a6a1993e656202eb69774eaf6ea1b552c	runner.TestoTron
121	b600c51f8c3d2027586bbeeb7a7988c719e0d2bf	runner.Artifactor
122	57b3bcd9768a5be6f8ebed702b6b34b6f3c6bb47	runner.ImporterX
123	e5e05e2146e19ccafe3c3fccada6f4b29ef096d9	runner.TestoTron
124	cd2725ded2fe688de8f3feb0584110da16866258	runner.Artifactor
125	f1eff86571e12fc9992b9b280bdce19e3b5aae11	runner.CopyDroid
126	fb874f06ed9d475cae12fb3f650e3734b05f3219	runner.Artifactor
127	043166257f5aafcf2f210e214dd70f5f80741d56	runner.ImporterX
128	2219f4f32e8cf54bdffe8f35c65f959c58305f5e	runner.Artifactor
129	177a41859387703914c050fedb695b60541210e6	runner.XMLinator
130	2839338fe9c869e303120455f3443070c82b3944	runner.Artifactor
131	3cc0ef73f3e53480c653193eee8e9aaea8865d26	runner.Artifactor
132	eb95bc957950cffeeba693f8a827beded1945b7d	runner.Artifactor
133	83980c70dc70c7101232f046a570635ee3cb2f85	runner.JesterUnit
134	f2739baaa8716290ef9af24ba1e6b998e01e529b	runner.ProfileBot
135	3858728b11e0e19b7a0e5d439bd0b7b559464327	runner.ProfileBot
136	6a47f0940816099d35b31b10c7770a2a83ae089b	runner.XMLinator
137	e1f352ae905f7820998f7230976a1dba0105bae9	runner.UnitJasBot
138	545dc1afab1e4a6797d36dd23a54b4a0c0a7f6d7	runner.ProfileBot
139	437ae7de41c8d570dbc37ed098b69f0da15077ac	runner.JesterUnit
140	7bbb824d06d4f165cfb17bae40abf2f7dfec78fd	runner.ProfileBot
141	86f3a68d144247812bf286f3cffafad09ca75792	runner.ProfileBot
142	ff5bd099a222d71d430316dab2eeef41b307141b	runner.ProfileBot
143	cd38615a1e60ff6dc55ce5138098c7b0695cca3a	runner.ProfileBot
144	a3aa86f8841937f4c9af634356a9ff55926ec313	runner.ProfileBot
145	313bb4f6338c7915b16207293525995ff6e23429	runner.ProfileBot
146	8c5e7b579caa73692f276a5ae96d4c57a013968d	runner.ProfileBot
147	4e512d5ca362ceacffd0a60085638b4ee1e19c1f	runner.ProfileBot
148	1bb96022cb481f67049923af56e01bbcb9b738c6	runner.ProfileBot
149	8915edfd57c522a0c8eb4ad4daf550067ea56cea	runner.ProfileBot
150	4a79ef0134c660e0e5db3b3c9bedb28dd6f0e915	runner.ProfileBot
151	1f8fac54c63eb3e0d13dcfc03377b656dbf426ec	runner.ProfileBot
152	ee8cadc271a7c58ac34d4f88bee8a510952d4f59	runner.ProfileBot
153	a45823f5b71cedccbd6b4b18feb4ee93d7fff05f	runner.ProfileBot
154	20152f75ade81107b4f2d9cc2d4ab66076414441	runner.ProfileBot
